cidade,latitude,longitude
IMBITUBA,-28.241827,-48.6643444
RIBEIRO GONÇALVES,-7.5603126,-45.2417148
MONTE ALEGRE DO PIAUÍ,-9.7483373,-45.3048117
CACEQUI,-29.8838059,-54.8273443
ELDORADO DO SUL,-29.9976311,-51.3063965
FORMOSA DO RIO PRETO,-11.0414544,-45.1903983
BOM JESUS DE GOIÁS,-18.2174587,-49.739721
VERA,-12.2949604,-55.2947571
RIO BRANCO,-9.9765362,-67.8220778
CAXIAS DO SUL,-29.1685045,-51.1796385
INACIOLÂNDIA,-18.4864065,-49.9887805
CAÇAPAVA,-23.099204,-45.707645
MARINGÁ,-23.425269,-51.9382078
AQUIDAUANA,-20.473969,-55.7821375
PONTA GROSSA,-25.0891685,-50.1601812
NÍSIA FLORESTA,-6.0902674,-35.2085026
GAÚCHA DO NORTE,-13.18136,-53.2543946
VITÓRIA DA CONQUISTA,-14.8567487,-40.8414804
SÃO JOSÉ DA LAPA,-19.6988548,-43.9583194
NONOAI,-27.3660882,-52.7717853
GLÓRIA D'OESTE,-15.7680093,-58.3107593
FORQUILHINHA,-28.7487602,-49.4737661
ITIQUIRA,-17.2033274,-54.1446924
PAVERAMA,-29.5521033,-51.7343769
JUAZEIRO DO NORTE,-7.2153453,-39.3153336
SINOP,-11.8577512,-55.496788
GUANAMBI,-14.223066,-42.779943
ALTA FLORESTA,-9.8698547,-56.0834993
COARI,-4.0885957,-63.1431166
SÃO JOSÉ DO RIO PRETO,-20.8125851,-49.3804212
LUCAS DO RIO VERDE,-13.1107706,-55.898894
IGARASSU,-7.8354423,-34.9061125
VÁRZEA GRANDE,-15.645816,-56.132218
IPUÃ,-20.4441839,-48.012504
PONTA PORÃ,-22.5286917,-55.723426
SÃO GERALDO DO ARAGUAIA,-6.394715,-48.559169
PARANAPANEMA,-23.390161,-48.720868
IRANDUBA,-3.2758203,-60.1867429
LOBATO,-23.0077055,-51.9524309
NOVA BANDEIRANTES,-9.8494172,-57.8139698
LONTRAS,-27.1679891,-49.5424602
LINHARES,-19.3816944,-40.0612213
QUERÊNCIA,-12.5944625,-52.2088505
ENGENHEIRO CALDAS,-19.201389,-42.046944
URUARÁ,-3.7185381,-53.738549
SOCORRO,-22.5902619,-46.5249112
CACHOEIRA DO ARARI,-1.0143572,-48.9621089
BARRA DO CHOÇA,-14.8638173,-40.5761637
LENÇÓIS PAULISTA,-22.6029897,-48.8031367
SANTA HELENA DE GOIÁS,-17.8115199,-50.5976641
TRÊS LAGOAS,-20.7866799,-51.7061247
ITAJUBÁ,-22.4238234,-45.4524156
ORIXIMINÁ,-1.7669992,-55.868285
BENEVIDES,-1.3555577,-48.252235
MARABÁ,-5.3462821,-49.1007401
BARRA VELHA,-26.6338203,-48.6835001
JUIZ DE FORA,-21.7609533,-43.3501129
MONTE SANTO,-10.4382898,-39.3304065
ASSIS,-22.6620892,-50.420623
PARÁ DE MINAS,-19.8599637,-44.6075313
GUARAQUEÇABA,-25.2983566,-48.3290185
IMPERATRIZ,-5.5269279,-47.478115
RIO CLARO,-22.4100108,-47.5603933
ANDRADINA,-20.896505,-51.3742765
PORTO MURTINHO,-21.698078,-57.883586
GUARUJÁ,-23.9927768,-46.2558332
CAMPO NOVO DO PARECIS,-13.658735,-57.890723
FRANCA,-20.5381768,-47.4009795
NOVA CANTU,-24.6739252,-52.5731265
JUSSARA,-15.874813,-50.867431
LÁBREA,-7.2613683,-64.7924505
CONDEÚBA,-14.902227,-41.971829
MACAPÁ,0.0401529,-51.0569588
ARAPONGAS,-23.4152862,-51.4293961
REDENÇÃO,-8.025294,-50.031687
CAPIVARI,-22.9999295,-47.5031066
LOANDA,-22.9320944,-53.1352452
RIO DAS OSTRAS,-22.5269448,-41.944972
MUCAJAÍ,2.4486084,-60.9199986
CONQUISTA D'OESTE,-14.5381171,-59.5443775
FOZ DO IGUAÇU,-25.5401479,-54.5858139
PATO BRANCO,-26.2295984,-52.6712474
JAGUARUNA,-28.6237365,-49.0288664
RESPLENDOR,-19.3254413,-41.2554622
BENTO GONÇALVES,-29.1654014,-51.5197627
IPIXUNA,-7.0502834,-71.691232
RUY BARBOSA,-12.2856669,-40.4958361
ILHÉUS,-14.792599,-39.0453843
CANDEIAS DO JAMARI,-8.7949939,-63.7018851
UBÁ,-21.12,-42.942777
SALTO DE PIRAPORA,-23.6492502,-47.5729465
PORTO VELHO,-8.7494525,-63.8735438
ARARI,-3.4547602,-44.7772723
SÃO FRANCISCO DO PARÁ,-1.20717885,-47.748998867541246
RIBEIRÃO BONITO,-22.0692867,-48.1781765
FERNANDÓPOLIS,-20.2825647,-50.2500762
PAUDALHO,-7.90287,-35.171639
PIMENTA BUENO,-11.6767868,-61.1863902
IBITINGA,-21.75623,-48.831903
SERRA TALHADA,-7.9867805,-38.2920294
ILICÍNEA,-20.9390196,-45.8263558
